Symbol,GICS Sector
LKQ,Consumer Discretionary S&P 500
LMT,Industrials S&P 500
L,Financials S&P 500
LOW,Consumer Discretionary S&P 500
LULU,Consumer Discretionary S&P 500
LYB,Materials S&P 500
MTB,Financials S&P 500
MRO,Energy S&P 500
MPC,Energy S&P 500
MKTX,Financials S&P 500
MAR,Consumer Discretionary S&P 500
MMC,Financials S&P 500
MLM,Materials S&P 500
MAS,Industrials S&P 500
MA,Financials S&P 500
MTCH,Communication Services S&P 500
MKC,Consumer Staples S&P 500
MCD,Consumer Discretionary S&P 500
MCK,Health Care S&P 500
MDT,Health Care S&P 500
MRK,Health Care S&P 500
META,Communication Services S&P 500
MET,Financials S&P 500
MTD,Health Care S&P 500
MGM,Consumer Discretionary S&P 500
MCHP,Information Technology S&P 500
MU,Information Technology S&P 500
MSFT,Information Technology S&P 500
MAA,Real Estate S&P 500
MRNA,Health Care S&P 500
MHK,Consumer Discretionary S&P 500
MOH,Health Care S&P 500
TAP,Consumer Staples S&P 500
MDLZ,Consumer Staples S&P 500
MPWR,Information Technology S&P 500
MNST,Consumer Staples S&P 500
MCO,Financials S&P 500
MS,Financials S&P 500
MOS,Materials S&P 500
MSI,Information Technology S&P 500
MSCI,Financials S&P 500
NDAQ,Financials S&P 500
NTAP,Information Technology S&P 500
NFLX,Communication Services S&P 500
NEM,Materials S&P 500
NWSA,Communication Services S&P 500
NWS,Communication Services S&P 500
NEE,Utilities S&P 500
NKE,Consumer Discretionary S&P 500
NI,Utilities S&P 500
NDSN,Industrials S&P 500
NSC,Industrials S&P 500
NTRS,Financials S&P 500
NOC,Industrials S&P 500
NCLH,Consumer Discretionary S&P 500
NRG,Utilities S&P 500
NUE,Materials S&P 500
NVDA,Information Technology S&P 500
NVR,Consumer Discretionary S&P 500
NXPI,Information Technology S&P 500
ORLY,Consumer Discretionary S&P 500
OXY,Energy S&P 500
ODFL,Industrials S&P 500
OMC,Communication Services S&P 500
ON,Information Technology S&P 500
OKE,Energy S&P 500
ORCL,Information Technology S&P 500
OTIS,Industrials S&P 500
PCAR,Industrials S&P 500
PKG,Materials S&P 500
PANW,Information Technology S&P 500
PARA,Communication Services S&P 500
PH,Industrials S&P 500
PAYX,Industrials S&P 500
PAYC,Industrials S&P 500
PYPL,Financials S&P 500
PNR,Industrials S&P 500
PEP,Consumer Staples S&P 500
PFE,Health Care S&P 500
PCG,Utilities S&P 500
PM,Consumer Staples S&P 500
PSX,Energy S&P 500
PNW,Utilities S&P 500
PNC,Financials S&P 500
POOL,Consumer Discretionary S&P 500
PPG,Materials S&P 500
PPL,Utilities S&P 500
PFG,Financials S&P 500
PG,Consumer Staples S&P 500
PGR,Financials S&P 500
PLD,Real Estate S&P 500
PRU,Financials S&P 500
PEG,Utilities S&P 500
PTC,Information Technology S&P 500
PSA,Real Estate S&P 500
PHM,Consumer Discretionary S&P 500
QRVO,Information Technology S&P 500
PWR,Industrials S&P 500
QCOM,Information Technology S&P 500
DGX,Health Care S&P 500
RL,Consumer Discretionary S&P 500
RJF,Financials S&P 500
RTX,Industrials S&P 500
O,Real Estate S&P 500
REG,Real Estate S&P 500
REGN,Health Care S&P 500
RF,Financials S&P 500
RSG,Industrials S&P 500
RMD,Health Care S&P 500
RVTY,Health Care S&P 500
ROK,Industrials S&P 500
ROL,Industrials S&P 500
ROP,Information Technology S&P 500
ROST,Consumer Discretionary S&P 500
RCL,Consumer Discretionary S&P 500
SPGI,Financials S&P 500
CRM,Information Technology S&P 500
SBAC,Real Estate S&P 500
SLB,Energy S&P 500
STX,Information Technology S&P 500
SRE,Utilities S&P 500
NOW,Information Technology S&P 500
SHW,Materials S&P 500
SPG,Real Estate S&P 500
SWKS,Information Technology S&P 500
SJM,Consumer Staples S&P 500
SW,Materials S&P 500
SNA,Industrials S&P 500
SOLV,Health Care S&P 500
SO,Utilities S&P 500
LUV,Industrials S&P 500
SWK,Industrials S&P 500
SBUX,Consumer Discretionary S&P 500
STT,Financials S&P 500
STLD,Materials S&P 500
STE,Health Care S&P 500
SYK,Health Care S&P 500
SMCI,Information Technology S&P 500
SYF,Financials S&P 500
SNPS,Information Technology S&P 500
SYY,Consumer Staples S&P 500
TMUS,Communication Services S&P 500
TROW,Financials S&P 500
TTWO,Communication Services S&P 500
TPR,Consumer Discretionary S&P 500
TRGP,Energy S&P 500
TGT,Consumer Staples S&P 500
TEL,Information Technology S&P 500
TDY,Information Technology S&P 500
TFX,Health Care S&P 500
TER,Information Technology S&P 500
TSLA,Consumer Discretionary S&P 500
TXN,Information Technology S&P 500
TXT,Industrials S&P 500
TMO,Health Care S&P 500
TJX,Consumer Discretionary S&P 500
TSCO,Consumer Discretionary S&P 500
TT,Industrials S&P 500
TDG,Industrials S&P 500
TRV,Financials S&P 500
TRMB,Information Technology S&P 500
TFC,Financials S&P 500
TYL,Information Technology S&P 500
TSN,Consumer Staples S&P 500
USB,Financials S&P 500
UBER,Industrials S&P 500
UDR,Real Estate S&P 500
ULTA,Consumer Discretionary S&P 500
UNP,Industrials S&P 500
UAL,Industrials S&P 500
UPS,Industrials S&P 500
URI,Industrials S&P 500
UNH,Health Care S&P 500
UHS,Health Care S&P 500
VLO,Energy S&P 500
VTR,Real Estate S&P 500
VLTO,Industrials S&P 500
VRSN,Information Technology S&P 500
VRSK,Industrials S&P 500
VZ,Communication Services S&P 500
VRTX,Health Care S&P 500
VTRS,Health Care S&P 500
VICI,Real Estate S&P 500
V,Financials S&P 500
VST,Utilities S&P 500
VMC,Materials S&P 500
WRB,Financials S&P 500
GWW,Industrials S&P 500
WAB,Industrials S&P 500
WBA,Consumer Staples S&P 500
WMT,Consumer Staples S&P 500
DIS,Communication Services S&P 500
WBD,Communication Services S&P 500
WM,Industrials S&P 500
WAT,Health Care S&P 500
WEC,Utilities S&P 500
WFC,Financials S&P 500
WELL,Real Estate S&P 500
WST,Health Care S&P 500
WDC,Information Technology S&P 500
WY,Real Estate S&P 500
WMB,Energy S&P 500
WTW,Financials S&P 500
WYNN,Consumer Discretionary S&P 500
XEL,Utilities S&P 500
XYL,Industrials S&P 500
YUM,Consumer Discretionary S&P 500
ZBRA,Information Technology S&P 500
ZBH,Health Care S&P 500
ZTS,Health Care S&P 500
